row,name,is_winner,win_pct_bps,win_pct_gps,win_pct_deuce,serve_win_pct_bps,serve_win_pct_gps,serve_pct_win_deuce,pct_ufcd_err,pct_opponent_fcd_err,pct_win_long_rallies,pct_win_long_rallies_initiated_by_opponent,pct_fcd_error_pts_rally,pct_unfcd_error_rally,pct_pts_won_af_return,pct_returnable,pct_in_play_return,pct_pts_won_fh_return,pct_pts_won_bh_return,pct_ace,pct_unreturnable_serve,pct_fcd_err_serve,pct_pts_won_sv_in_leq_3s_serve,pct_shots_cross,pct_shots_downM,pct_shots_downL,pct_shots_insideO,pct_shots_insideI,avg_win_pct_long_rally,var_win_pct_long_rally
234,Novak_Djokovic,1,0.7,0.2,0.5,0.071428571,0.684210526,0.157894737,0.261261261,0.605042017,0.545454545,0.766233766,0.191304348,0.126086957,0.380952381,0.8,0.723809524,0.315789474,0.523809524,0.048,0.008,0.144,0.296,0.494692144,0.210191083,0.118895966,0.16985138,0.006369427,0.054262259,0.020733816
235,Roger_Federer,0,0.6,0.1,0.625,0.25,0.5,0,0.412698413,0.772727273,0.259259259,0.789473684,0.158878505,0.242990654,0.265306122,0.612244898,0.591836735,0.266666667,0.310344828,0.086206897,0,0.206896552,0.362068966,0.401459854,0.248175182,0.109489051,0.218978102,0.02189781,0.017047109,0.012510697
236,Novak_Djokovic,1,0.666666667,0,0.578947368,0.105263158,0.636363636,0.272727273,0.328767123,0.670588235,0.453125,0.802816901,0.203821656,0.152866242,0.376811594,0.695652174,0.666666667,0.379310345,0.394736842,0.045454545,0,0.159090909,0.329545455,0.5,0.188235294,0.161764706,0.135294118,0.014705882,0.042776155,0.004073681
237,Roger_Federer,0,0.5,0,0.571428571,0.285714286,0.727272727,0.272727273,0.397727273,0.695121951,0.507042254,0.813559322,0.182352941,0.205882353,0.4,0.717647059,0.682352941,0.333333333,0.403508772,0.011764706,0,0.141176471,0.223529412,0.381443299,0.364261168,0.079037801,0.140893471,0.034364261,0.04477955,0.013738191
238,Roger_Federer,0,0.2,0,0.555555556,0.111111111,0.555555556,0,0.590163934,0.725,0.225806452,0.757575758,0.099009901,0.356435644,0.209302326,0.813953488,0.76744186,0.454545455,0.125,0.103448276,0,0.051724138,0.293103448,0.386666667,0.22,0.14,0.153333333,0.1,0.036203345,0.010577874
239,Novak_Djokovic,1,0.5,0.5,0.736842105,0.052631579,0.857142857,0.285714286,0.416666667,0.770642202,0.564705882,0.734177215,0.190243902,0.195121951,0.4,0.690909091,0.627272727,0.34375,0.402985075,0.031578947,0,0.105263158,0.294736842,0.363636364,0.344352617,0.121212121,0.159779614,0.011019284,0.043915009,0.016849453
240,Roger_Federer,0,0.5,0.333333333,0.59375,0.25,0.684210526,0.105263158,0.341614907,0.783216783,0.428571429,0.7,0.194719472,0.181518152,0.285714286,0.671428571,0.664285714,0.224137931,0.308823529,0.067484663,0,0.226993865,0.36196319,0.493946731,0.210653753,0.108958838,0.150121065,0.036319613,0.047900663,0.013867046
241,Roger_Federer,1,0.47715736,0.47715736,0.666666667,0.083333333,0.538071066,0.538071066,0.407407407,0.722222222,0.666666667,0.652173913,0.160493827,0.135802469,0.536585366,0.804878049,0.804878049,0.75,0.516129032,0.125,0.075,0.125,0.525,0.446969697,0.234848485,0.174242424,0.113636364,0.03030303,0.089399689,0
242,Roger_Federer,0,0.625,0.1875,0.625,0.125,0.583333333,0.166666667,0.383561644,0.778625954,0.526315789,0.849315068,0.217391304,0.202898551,0.333333333,0.765957447,0.737588652,0.387096774,0.323809524,0.081481481,0,0.140740741,0.311111111,0.478481013,0.192405063,0.182278481,0.108860759,0.037974684,0.059909654,0.007515098
243,Novak_Djokovic,1,0.333333333,0.166666667,0.696969697,0.212121212,0.7,0.05,0.352272727,0.694300518,0.536912752,0.803921569,0.205479452,0.169863014,0.405940594,0.722772277,0.702970297,0.480519481,0.404040404,0.055214724,0.030674847,0.122699387,0.288343558,0.395714286,0.275714286,0.127142857,0.19,0.011428571,0.053401044,0.004865505
